Type,DataType,components,value
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
attribute,uint8,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,boolean,Cabin,0
actuator,uint16,Cabin,0
actuator,int8,Cabin,0
actuator,uint8,Cabin,0
actuator,uint16,Cabin,0
actuator,uint16,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,int8,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,boolean,Cabin,0
actuator,uint16,Cabin,0
actuator,int8,Cabin,0
actuator,uint8,Cabin,0
actuator,uint16,Cabin,0
actuator,uint16,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,int8,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,boolean,Cabin,0
actuator,uint16,Cabin,0
actuator,int8,Cabin,0
actuator,uint8,Cabin,0
actuator,uint16,Cabin,0
actuator,uint16,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,int8,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,boolean,Cabin,0
actuator,uint16,Cabin,0
actuator,int8,Cabin,0
actuator,uint8,Cabin,0
actuator,uint16,Cabin,0
actuator,uint16,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,int8,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,boolean,Cabin,0
actuator,uint16,Cabin,0
actuator,int8,Cabin,0
actuator,uint8,Cabin,0
actuator,uint16,Cabin,0
actuator,uint16,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
branch,,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
